CODEX_ID,PD1,pH2AX,CD8A,CD3,CD4,CD11B,MHCII,LY6C,PDL1,KI67,CD44,CD19,CD45,CD24,SCAI,F4.80,ATPase,ENDOMUCIN
CODEX_5112,220.040625,245.790625,0,0,0,0,249.6515625,0,221.14375,87.2921875,121.3984375,0,671.9828125,83.7875,38.8296875,3.9984375,654.1296875,885.090625
CODEX_5113,392.8896684,1896.401148,1.820790816,0,0,8.769132653,98.65625,0,117.1957908,380.125,55.88903061,0.136479592,447.9024235,105.6371173,47.73214286,0,79.43686224,55.93048469
CODEX_5114,208.997,367.302,1.303,0,0,0,88.466,0,139.137,65.047,58.395,0,156.332,102.124,161.011,0,588.213,6200.901
CODEX_5115,455.5195167,1309.939591,1.103159851,0,0,15.94052045,99.91078067,0,121.8113383,217.7230483,65.15241636,0,478.3587361,99.03066914,38.61431227,0,90.91914498,42.72304833
CODEX_5116,286.6445183,476.5041528,15.90780731,0,0,1.247508306,97.76079734,0,88.68272425,279.2392027,51.40033223,0,388.7167774,94.63787375,30.93604651,0.221760797,125.5598007,150.4551495
CODEX_5117,190.3434579,128.0700935,0,0,0,0,101.8107477,0,96.53271028,56.14953271,79.6728972,0,321.6985981,85.54906542,26.28037383,1.196261682,424.8084112,307
CODEX_5118,135.3794643,158.3214286,0,0,0,0,186.0803571,0,218.2053571,46.08482143,76.20982143,0,253.6428571,104.9866071,41.13839286,0,870.9285714,1058.910714
CODEX_5119,290.7463617,926.1793139,1.374220374,0,0,0.001559252,88.7510395,0,108.6891892,149.6169439,52.47609148,0,287.6528067,95.6533264,186.7406445,0,208.5618503,460.3331601
CODEX_5120,190.7226563,193.3945313,0,0,0,0,95.48046875,0,108.7851563,50.16015625,59.7734375,0,167.9804688,84.3984375,52.87890625,0,440.125,275.5703125
CODEX_5121,194.3716216,317.8085586,0,0,0,0,109.6824324,0,157.722973,97.35472973,63.61711712,0,212.920045,82.94707207,34.1204955,0.05518018,656.2545045,1268.040541
CODEX_5122,188.3944954,380.4541284,6.701834862,0,0,12.36238532,120.8073394,0,169.5114679,130.6743119,103.483945,0.275229358,376.8784404,79.10550459,62.12614679,5.621559633,581.3394495,243.9243119
CODEX_5123,305.047486,1344.451117,32.45949721,0,0,27.33379888,92.31424581,0,96.09916201,261.5865922,57.8896648,1.333798883,256.5656425,95.8924581,33.45111732,0.195530726,80.99860335,55.33100559
CODEX_5124,164.2891061,238.7039106,0,0,0,0,95.74441341,0,113.3938547,53.87290503,55.5377095,0,136.3980447,86.68575419,25.54469274,0,466.650838,353.9273743
CODEX_5125,230.503876,500.5300388,16.35271318,0,0,0.853682171,97.19186047,0.021317829,70.51550388,263.0193798,46.75290698,0,362.2267442,88.07170543,27.14341085,0,73.64825581,47.04263566
CODEX_5126,255.9902913,390.6383495,2.574029126,0,0,0,84.07038835,0,86.29126214,61.15169903,53.1711165,0,125.9162621,84.87742718,34.58373786,0,199.4308252,323.9283981
CODEX_5127,231.5428922,736.4460784,0,0,0,0,113.5208333,0,110.8480392,71.02818627,70.10661765,0,247.0784314,106.4436275,55.65686275,0,335.2806373,115.127451
CODEX_5128,378.2572464,1627.105072,0,0,0,0.730072464,118.2355072,0,127.2717391,288.3297101,59.92934783,0,461.423913,100.9836957,56.99275362,0,134.2626812,89.80615942
CODEX_5129,431.1791667,1709.463889,0.334722222,0,0,2.333333333,94.01666667,0,112.675,205.2458333,62.97083333,0,376.8638889,112.2777778,64.28888889,0,113.9125,113.5
CODEX_5130,314.1513158,1066.77193,0.304824561,0,0,52.99780702,114.0921053,0,124.7982456,588.872807,60.47587719,0.186403509,588.7697368,101.620614,52.47807018,0,138.7280702,56.36184211
CODEX_5131,351.0778302,1168.106132,0.044811321,0,0,34.4009434,105.2169811,0.051886792,126.0188679,644.8325472,67.33018868,0,618.3018868,99.96933962,75.96462264,0,138.0023585,77.73820755
CODEX_5132,202.3030303,460.6035354,0,0,0,0,134.9368687,0,119.0429293,154.5681818,97.60353535,0,436.0454545,93.31060606,104.2171717,0.626262626,613.5707071,127.1388889
CODEX_5133,230.640748,316.8809055,0.250984252,0.102362205,0,0,125.5206693,0,202.7785433,62.63976378,143.5649606,0.296259843,631.9852362,84.68996063,33.45374016,41.17519685,518.6919291,483.8690945
CODEX_5134,438.1655556,1085.05,0,0,0,7.847777778,97.91888889,0,93.54333333,162.7588889,52.15111111,0,361.6311111,98.19111111,34.97222222,0,136.6611111,73.53
CODEX_5135,268.0761905,1129.416667,0.664285714,0,0,9.35952381,96.66428571,0,111.3690476,304.0071429,55.95238095,0,282.2047619,87.50952381,45.16428571,0,238.3190476,68.42142857
CODEX_5136,202.1160714,440.9642857,0,0,0,0.113839286,115.6339286,0,83.33035714,271.3727679,68.70758929,0,299.1450893,98.00892857,288.6785714,0,398.5892857,72.97767857
CODEX_5137,278.2211538,632.5705128,0,0,0,0,87.67147436,0,77.7099359,111.0240385,47.13301282,0,268.5288462,88.27083333,35.76923077,0,107.2820513,33.18589744
CODEX_5138,119.0104167,576.78125,0.385416667,0,0,0,88.05208333,0,56.42708333,22.80208333,39.51041667,0,76.01041667,103.0104167,28.875,0,74.97916667,36.44791667
